TruckSID;ActualWeightFront;ActualWeightBack;ActualWeightTotal;Engine;Transmission;FrontAxlePosition;WheelBase;Overhang;FrameRails;Liner;FrontEndExt;Cab;RearAxels;RearSusp;FrontSusp;RearWheels;RearTires;FrontWheels;FrontTires;TagAxle;EngineFamily;TransmissionFamily
30181;10820;6668;17488;1012002;2700021;3690005;186;104;403011;404998;4070004;5000004;330444;3500004;3700011;9142003;933469;905549;930821;3P1998;101D97;270C24
35073;11760;6770;18530;1012019;2700028;3690005;204;104;403012;404998;4070004;5000001;330444;3500004;3700002;9142001;933469;9050031;930821;3P1998;101D102;270C25
28612;10240;7940;18180;1012011;2700027;3690005;195;104;403012;404998;4070004;5000001;3300041;3500004;3700002;9142003;933469;9052003;930469;3P1998;101D100;270C25
30766;9790;8450;18240;1012011;2700022;3690005;195;98;403011;404998;4070004;5000001;330507;3500004;3700002;9142001;933469;9050037;930469;3P1998;101D100;270C24
35244;10730;6420;17150;1012011;2700022;3690005;207;86;403012;404002;4070004;5000001;330507;3500004;3700002;9140033;9330002;9052002;9300002;3P1998;101D100;270C24
29230;10170;6160;16330;1012011;2700022;3690005;207;86;403011;404002;4070004;5000001;330507;3500004;3700002;9140033;9330002;9052002;9300002;3P1998;101D100;270C24
30931;9820;8660;18480;1012011;2700022;3690005;195;104;403011;404998;4070004;5000001;330507;3500004;3700002;9142001;933469;9050037;930469;3P1998;101D100;270C24
31526;11110;5530;16640;1012002;2700028;3690005;186;104;403012;404002;4070004;5000004;330444;3500004;3700011;9140014;933062;9050015;930469;3P1998;101D97;270C25
28731;11110;7580;18690;1012011;2700028;3690005;222;98;403012;404002;4070004;5000002;330444;3500004;3700002;9140016;933063;9050017;930821;3P1998;101D100;270C25
28641;9870;8500;18370;1012011;2700022;3690005;195;104;403011;404998;4070004;5000002;330444;3500004;3700002;9142001;933469;9050037;930469;3P1998;101D100;270C24
35495;9920;8470;18390;1012011;2700022;3690005;195;98;403012;404998;4070004;5000001;330507;3500004;3700002;9142001;933469;9050037;930469;3P1998;101D100;270C24
31288;10020;6260;16280;1012011;2700022;3690005;222;104;403012;404002;4070004;5000001;330507;3500004;3700002;9142001;933469;9050037;930469;3P1998;101D100;270C24
33015;10470;6400;16870;1012011;2700027;3690005;210;86;403012;404998;4070004;5000002;3300044;3500004;3700002;9142003;933469;9052003;930469;3P1998;101D100;270C25
30729;10300;5720;16020;1012011;2700022;3690005;195;62;403011;404998;4070004;5000001;330507;3500004;3700002;9140033;9330002;9052002;9300002;3P1998;101D100;270C24
30379;10250;5980;16230;1012011;2700022;3690005;210;68;403012;404998;4070004;5000001;3300041;3500003;3700002;9142003;933469;9052003;930469;3P1998;101D100;270C24
